text,toxic
por outro lado entre os gestores há um consenso que joga contra o investimento de mais longo prazoquando provocados eles são categóricos se há uma posição que eles não carregariam por 10 anos de olhos fechados é itaú ou qualquer outro banco grande,1.0
hora de colocar os fatos na mesa ,0.0
o gambenjacomo os gambás contrataram o ruimgil sem ter dinheiro pra pagar as marmita s,1.0
1h30 para sair de casa e estou deitada no sofá como se nada fosse,0.0
mano eu to super de boa ai penso em certas coisas e já fecho a cara e ninguém entende nd,0.0
eu tenho de parar de estar de costas na praia porque eu fico sempre morena nas costas e à frente pareço um pacote de l…,0.0
eitem só faxavor,0.0
  contra fatos não há argumentos jairé assim que você está ficando conhecido na europa,0.0
  ahhhhhhhh obg kskskskskskks eu disse q sou horrível com cantadas,0.0
viva a vida enquanto vc esta vivo pq dps que vc morrer n vivera mais,0.0
   vc só pensa no coafacorda alice acha mesmo que a pf está engessada somente numa linha de investigação achei que como jornalista era mais esperta,1.0
homens feios porem bonitos¿,0.0
  não fale pelo povo nordestinosou maranhense moro no maranhão e não me importei nem um poucosai da bolha otárioeu queria mesmo era dar um abraço e agradecer ao meu presidente pelo que tem feitoah e detesto maconha,1.0
passando calor aqui na loja,0.0
 putz e sex tape não dá pra gravar todo dia,1.0
 vc só esqueceu de mencionar que a turma do bem agrediu o ministro na presença de suas criançascabe bo segundo o estatuto do ecaé covardia que chama,1.0
 tao linda parece eu,0.0
    e o queiroz ninguém acha,0.0
eu amo um homem,0.0
fazendo meu papel de bom amigo marcando keylla em 300 memes ,0.0
"vídeo novo turma

foto de boa lacrador não perdoa



entenda por que a chorumesfera atacou com tanta truculência uma adolescente que apenas postou uma foto de uma viagem escolar

(e compartilha pra tentar reverter o dano que causaram)",1.0
"fazendo amor
botando pra moer
so eu y voce",1.0
"o candidato dos ricos que fez a campanha mais pobre da história e o mais atacado por todos
o político mais burro pois anuncia seus principais ministros antes mesmo do fim do primeiro turno não deixando margens para negociatas no segundo turno",1.0
eu ri mas eu quero kkk ,0.0
1 mês certinho para 18 anos,0.0
mais sonsa que a minha mãe só duas dela ela fez eu postar foto dela no facebook e fez a kátia cega no comentário kkkkkkkkkkkkkkk q odio,1.0
 incrivel como essa foto só fica melhor a cada vez que eu vejo,0.0
 precisamos ficar atentosos métodos utilizados pela lava jato ñ foram nada ortodoxoshouve claramente um pacto de mediocridade entre as instituições brasileirasrealmente é preciso estar atento e jamais esmorecermuito obrigada pelo seu trabalho demori ,0.0
  uma jóia de nióbio que n vale quase nada,0.0
desgoverno da destruição esconde dados estamos sendo enganados e roubados de todos lados e agora a certeza que esses covardes vão manipular dados para apresentação da falsa realmenteaté o presente mostrar o contrário a destruição visível do país,1.0
nossa velho 2019 e vcs nessa ainda pqp,1.0
 aí levizinho cidade perfeita e pretendo voltar logo maisssss,0.0
é foda,1.0
8 coisas que os homens fazem apenas com a mulher que amam ,0.0
esses vascainos são uma piada kkkkm,1.0
"segue minha página de shitpost 
mas é de humor negro/shitpost então se tu não gosta sai

eu divido essa página com a minha melhor amiga segue ela tbm  &gt;",1.0
 quando começar os temporais eu vou viver na tua casa vlh,0.0
 parabéns tá muito ruim ,1.0
"papo reto aqui
se você usa ou pensa em usar isso aqui como argumento a favor do aborto saiba que você é lixo ideias comparáveis as de hitler 

pra você é melhor e mais fácil evitar que pessoas pobres (geralmente minorias raciais) nasçam do que diminuir índices de pobreza ",1.0
posso chamar então — pode sim ,0.0
de vez em quando a escola é um lugar bom só o professor de matemática torceu o nariz de resto fui bem recebida por todo mundo todos fazendo questão de ajudarfilho custa caro gentes ,0.0
       mas pra ela pode ser tudo precisa mto,0.0
mano meu tio me ligou agr e quase tive um ataque kkkkkkkkkkk pensei que tinha feito merda,1.0
  parece que o cara mora no suvaco do  e saiu rapidinho só pra manda a galera toma no cu e já vai voltar pra dentro de casa,1.0
muita cautela pra saber quem tá contigo nem toda mão estendida é de coração,0.0
se não sente falta das meninas não — mn não sei acho que foi melhor assim se for pra volta o tempo vai resolver,0.0
boa noite pra quem tem os dois melhores laterais do futebol brasileiro,0.0
 é tá porque não foi faz tempo cuidar dela e ficou aí perdendo seu tempo em atacar pessoas do bem vc é seu macho não passam de terroristassumam do brasil aqui não é sua terra srgleen,1.0
preciso de outra companhia pra ir pra academia pq o matheus é a mesma coisa que nada,1.0
 olha quem fala,1.0
me paga um boquete — not ,1.0
as vezes as pessoa fala sobre amar o yoongi e eu fico kkkk thats cute,0.0
 pelo que havia entendido a conta fazia a somatória dos dois (tv paga e tv aberta),0.0
" foda o ser humano e sua síndrome de seguir as coisas só por seguir ao invés de fazer uma reflexão real sobre elas
mundão tá osso",1.0
"amigos de bh alguém pelamorde deus me chama prum rolê hoje
tô querendo beber dançar e curtir um bocado a noite hoje minhajudem",0.0
ate segui o meu mo babados do matriz p n perder nada,0.0
tô vendo que vou chorar igual uma criancinha ,0.0
puts só queria estar no barão agora,0.0
os cria vai piar aq em casa p ver vingadores ,0.0
 salgadose tirar o sal fica você,1.0
bemainda faltam 2 anos pra acabar há esperança ,0.0
eu tenho a sensação as vezes de que eu vim nessa vida só pra me fuder,1.0
aliás 15h e ainda sem almoçar,0.0
 e vamos resolver de certeza,0.0
"estudar pra ganhar na vida como a anitta
 ",0.0
 dourados kkkkk,0.0
 pq a boca foi feita pra falar ,1.0
"nomes dos suspeitos de invadir celular do ministro sérgio moro serão divulgados amanhã ao meiodiaos quatro presos (3 homens e 1 mulher) em sp estão sendo levados para brasília onde prestarão depoimento ainda hojemais aqui 
",0.0
eu mando algo relacionado a turismo aqui em fortaleza pra lysandra e ela pergunta que que tem,0.0
 saudade ladrão fica com deus pitbull de raça ,0.0
viva sem medo sem medo dos desafios sem medo de enfrentar o que parece impossível ,0.0
eu sou muito idiota mano kkkkkkk obrigada deus pelos sinais agora eu aprendo,0.0
bk e isso ja aconteceu demais,0.0
" ouráiti
mas mesmo assim queremos outro pgr ",0.0
tem tanta opção de role hoje n sei pra onde vou no final vou acabar não indo pra nenhum,0.0
me preparando psicologicamente para a msg de arthur dizendo q morgou do role,1.0
gente pq vocês estão colocando esses quadradinhos nos nomes de vocês não dá pra ler nada poxa,0.0
—[] em 2014 melanie lançou seu primeiro clipe dollhouseo video foi gravado com a arrecadação de fundos com a ajuda de fãs que já a acompanhavamno mesmo ano ela anunciou que havia assinado com a atlantic records e logo lançou seu primeiro ep,0.0
"notícia na tv portuguesa

acabou de passar na tvi24 (canal português) que há um manifesto no congresso para impedir a visita do presidente jair bolsonaro no próximo ano sob pretexto de que ele não é bem vindo

tentei gravar mas ficou pela metade ",0.0
   alguém tá mentindo,0.0
"            uma das mulheres que mais amei conhecer 

linda e fascinante

estar ao seu lado é um momento único e inesquecível",0.0
   tá pegando fogoooo,0.0
 tens como provar isso com documentos,0.0
bom vou sair de casa agora ontem foi o dia do perdeu perdi muita coisa uahuashaushausa o celular é uma delas entón eu vou trampar pq mais um mês se iniciou e este será o melhor mês do ano,0.0
ser amigo meu td bem agr querer controlar quem devo ficar oq devo fazer não vtnc,1.0
 deixa eu fumar meu narguines respeitar ok,0.0
mano queria ter férias,0.0
 operação lava jato faz operação para proteger operação lava jato,0.0
ainda indignada com o show do 3030 de graça em cg que não vou poder ir,0.0
toda vez que persegue alguém bolsonaro cria potenciais nomes de congressistas para a próxima legislatura,0.0
 aqui em casa amiga kakak,0.0
aí eu to com muita saudades vai tomar no cu ;(((,1.0
só quero chegar em angra logo,0.0
"corinthians x palmeiras em brasileiros desde 1971 
51 jogos
17 vitórias do corinthians
17 empates
17 vitórias do palmeiras

 últimos 9 jogos no geral (7 vitórias do corinthians 2 vitórias do palmeiras)
 fábio carille contra o palmeiras (8 jogos 7 vitórias 1 derrota)",0.0
as coisas nunca dão certo pra mim mesmo eu ficando calada e não contando pra ninguém acho massa minha capacidade de ser um lixo e estragar as coisa,0.0
"[2/8 1528] racquel zika kkkkkkk
[2/8 1528] racquel e os trabalhos fez algum 
[2/8 1529] marcela não tenho nem foto sei nem que que é pra fazer
[2/8 1529] racquel vamos começar o bimestre muito bem

kkkkkkkkkkkkkk vai dar ruim",0.0
aceitem que noart é só amizade nada além único shipper que pode ser real e beauany não tô proibido de shippa noart mas ficaram jogando hate pra ela por infantilidade quem aguenta meu pai ,1.0
  kkk tenho pena da sua alma quando chegar ao umbral e mais pena do seu espírito quando receber o próximo corpo na próxima encarnaçãoo pior está por vir infelizteu calvário só está começando nesta prisãomas já nos faz muito feliz que vc esteja aí tolhido da liverdade,1.0
transar podendo fazer barulho a vontade é outro nível,1.0
eu gosto de estudar desenho animado pq faz 14 anos que eu nao consigo olhar pra uma almondega sem pensar nisso ,0.0
 kkkkk pior que enjoa mesmo,0.0
"essa série da bbc mostra o drama da crise climática que estamos vivendoas ameaças estão por toda parteas consequências são cada vez mais graveso alerta da ciência precisa ser traduzido em açãoé urgente 

",0.0
eu uso batom claro desde que me conheço por gente,0.0
 nossa mano te odeio na moral kkkkkkkkkkkkkkkkkkk,1.0
segunda eu começo a fazer terapia nunca imaginei chegar a uma fase tão conturbada e difícil da minha vida a ponto de ter que passar por issoque tristeza sem fim,0.0
 cametá,0.0
"caralho esse cara eh foda demais

divulguem o trampo dele ",1.0
"se neymar não vier e coutinho ficar

griezmann messi dembélé
 coutinho de jong arthur
alba lenglet piqué semedo
       ter stegen

lamentavelmente no entanto busquets e suárez não saem do time titular por nada",0.0
kkkkkkkkkkkkkkkk sarneou,0.0
" claro q pode
mas pq todas as opções são não",0.0
 exatamente isso,0.0
a mano sla dps desse video me deu vontade d gostar d algm será q eh pedir mto,0.0
  parabéns mano ,0.0
 olha só eu tava ardendo em febre ontem mas eu tô vivinha e vim te desejar parabénxxx muita muita saúde luz amor vou te adotar e te chamar de paozim de melah tu é a cara do meu namorado viue ru me inspira a escrever e os caracteres tao acab,0.0
meu melhor amigo gente só meu ninguém rouba ele de mim,0.0
uma lista com os melhores laterais do brasil sem juninho capixaba é uma lista sem moral,0.0
 como sua exasérgio moro se pronunciouo teor das conversas de agentes públicos são prioritários sobre o modo de obtençãopor isso sua exavazou gravações da presidenta e da intimidade da família do ex presidentedesse modo dallagnol cometeu prevaricaçãoe agora o povo sabe,0.0
que orgulho ela merece isso é muito mais paulinha na fab,0.0
eu tô triste,0.0
 hahahahahaha invejinha,0.0
 deve ser do mesmo dono da água mineral uai que é distribuída no espírito santo ,0.0
  o cansaço do time e gabriel machucado acabou sendo decisivos quando ele ta 100% se movimenta muito bruno henrique la de centro avante não é o melhor para eleminha opinião,0.0
 eu vejo o pessoal falando que dói a beça e eu achava que tinha uma idade certa pra aparecer depois disso não dava mais kkkkkk,0.0
  bundão você ,1.0
 se puder ouvir meu novo single já que sempre apoias a cena autoral ,0.0
a melhor campanha anti tabagismo é o calor acendi um cigarro agora q duas tragadas já joguei fora falei cigarro to fora isso ne vida nao,0.0
esse homem não pode ser real ,0.0
craque da rodada domingo classificação heróica na quarta e hoje esse presentãoque semana pro rafinha ,0.0
  mas ai no caso vc ta falando soh de repercussao ne pq tem uma pa de jogador q o palmeiras ja contratou q eh mrlhor q o borja,0.0
vejo a ana e a chai mais do que a minha família,0.0
"
se esse novo boy gruop for pra tirar a atenção do seus outros descasos vamos parar por aí ",0.0
gosto de irritar o menino q'eugosto pq ele bravo é fica ainda gostoso ,0.0
já vejo antis falando q n vamos chegar na final q o tombo vemmeu bem aqui é flamengo nada é impossível,0.0
falsa ,1.0
tem umas diabas com a cintura mt fina mano que isso,1.0
pensando em tomar um banho aqui na academia pra ir pra casa e tomar outro banho quando chegar em casa,0.0
 ah e te mata também,1.0
 como diria walter abrahão ta gorrrdo o milton neves hein,1.0
 só pq eu ia pagar o gelo hoje,0.0
 imagina se eu vou ter problema com algo na faculdade que absurdo eu sou perfeita,0.0
o bahia tentando me assustar com a pomba foi o ponto alto do meu dia com certeza,0.0
há um mistério há anos desde a criação do ministério da pesca na esplanadapor que brasília tem quase 40 mil pescadores que recebem o segurodefeso pago pelo governo,0.0
  fala barro preto,1.0
chris evans quer o mundo ele é seu,0.0
ministro da educação sobre paulo freire se fosse tão bom ia ter pelo menos mais um país usando o método dele ,0.0
  parabéns  isso é o tipo de ação que nos orgulha tenho 2 filhas e sei o quanto essas pequenas ações mexem conosco,0.0
vou pedir pro meu pai comprar ingresso pro jogo contra o bahia,0.0
   hahahahaha vc não entende porra nenhuma mesmo por isso seu crédito é nulo outra porta de esquerda,1.0
 você não conhecia o ministro da saúde mesmoele é um amontoado de polêmicas vazias que acertou nesse projeto dos médicos,1.0
chega em casa vou pra piscina muito calor tmlc,0.0
que lindo vestidooo,0.0
aprendi a dizer para as pessoas certas,0.0
feliz aniversário sérgio moro ,0.0
 querem ver um canalha olhem só a cara de um canalha que diz um troço desse ,1.0
 desconfortavel e feio msm,1.0
irmao esse negócio do super grupo e blá blá blá só tá servindo pra exol falar mal do nct puta merda,1.0
"curly lambeau dá nome ao estádio da franquia green bay packers e no episódio histórico dessa semana viemos contar um pouco sobre ele aperta o play e vem com a gente



spotify



 ",0.0
" 

tribta e dois",0.0
decidir qual série vou passar a noite assistindo hj já que to terminando stranger things,0.0
  não sei mas estou fazendotudo para tirar essa sensação,0.0
de tanto stories que eu vi eu já conheço mais porto seguro do q o próprio pessoal que viajou pra la,0.0
" vc é um gênio tenta a carreira da magistratura condenado em 3 instâncias sem provas e vc acha que não tem provas vc é um gêniosrsrsrssr
",1.0
eu tambem tiro foto com viados e simpatizo mas isso nao quer dizer nada se eu pudesse ainda metia uma surra,1.0
achei uma foto minha e da renata pequena ela era a cara do ricardo kkkkkkkkk,0.0
queria voltar nessa época,0.0
que rica verga,1.0
hoje é o dia oficial de chorar,0.0
"eu rindo sou igual o jimin me jogo em qualquer canto 
",0.0
meu namorado é lindo demais ,0.0
  kkkkkkkk eu aposto nisso tbm mano,0.0
 fez cacá e saiu correndo a narrativa de q não preservamos o nosso meio ambiente caiu,0.0
" astronaut engineer test pilot coach &amp; corporate trainer
 o cara é couch não da para esperar nada bom",1.0
"     dinheiro continua mandando 
o problema e de governadores e prefeitos 
e mp de estados que faz vista grossas ao desvio",0.0
gato perfeito meu webnamorado perfeito lindo demais amo seus poemas,0.0
 segura na mão de deus e vai,0.0
caralho mano é esse o romance que eu quero ,1.0
   pf prende 4 suspeitos de invadir celular de moro,0.0
"pegaria alguem do 2 do atomo — n conheço ngm eu acho kakakaakk 
manda nome aii ",0.0
 só dia 6 que o meu caaai se não era na hora tbm,0.0
" gilmar mendes não aceita ser investigado pela receitalewandowski mandou prender um crítico no aeroportotoffoli inventa inquérito para censurar redesalexandre de moraes não quer ninguém investigando o stfé a ditadura do judiciário

vamos aceitar

",0.0
odeio esperar pqp,1.0
"sexo nao sei mas se quiser vir aqui 
assistir netflix agarradinho pra gente ficar fazendo carinho um no outro até nao se aguentar mais de tesao e acabar transando tudo bem",1.0
 bah entao tu imagina com vou ficar quase tão linda quanto tu,0.0
 se ele for um cara novo e conseguir mostrar o futebol dele acho que rola,0.0
 sabes que tens boas amigas quando elas já usam o emoji do unicórnio associado a coisas quase tão lindas como tu ,0.0
" ai mano para com isso
sem condições
que dia que a gente não sai e num da tretinha",0.0
quem tiver procurando emprego aproveita e vem na direção desses cara aqui que eles estão dando trabalho kk ,0.0
"sdv de direita



















",0.0
ainda mano ,0.0
 melhor ter ficado calado ,1.0
sexo é íntimo e sagrado seu corpo é um templo e vc não deve compartilhalo com quem não gosta de lana del rey ,0.0
 vc é um pau mandado lambe botas que não tem o menor apreço pela ciênciavc é uma fraude científica e de carátercovarde,1.0
perguntar o que a pessoa tá fazendo é o auge de sem assunto,0.0
" 
entra no link e da rt e fav meta de 7k de rt e 2k de favajuda ele amigos",0.0
homem quando termina um relacionamento mostra ser outra pessoacomo pode gente,0.0
desde quando o yudi participou daquela edição icônica da fazenda eu desenvolvi afeição pelo menino ,0.0
  maraisa responde seu maridokkk,0.0
"os cursos geologia biologia e engflorestal se juntaram para fazer a segunda edição desse rock que foi selvagem com muita cerveja curtição e selvageria 

fique ligado mais informações em brevesigam nosso insta ",0.0
jair é o tiozao que acredita em qualquer mentira que contam pra eleo problema é que elegeram o tiozão e agora ele é o presidente da república amplificando mentira e fake,0.0
fazer o que precisa ser feito em silêncio,0.0
 alertas do inpe indicam alta de 40% em desmate na amazônia o que são esses alertas quais são o que eles realmente indicam e os falsos positivos qual a porcentagem que métrica é usada para definir um alerta algum cientista por aqui para responder,0.0
  nessa tu se feua maconha ta te deixando lesadopassa vergonha ai babaca,1.0
estou a gostar tanto de estar parte loira que não sei se ficar 100% loira não está mais próximo do que eu estava a contar,0.0
  prove sua inteligência me diga onde foi que o socialismo e o comunismo deram certo ,0.0
eu tentando explicar pra mim mesma q nao posso me matar ,1.0
em entrevista para uma rádio  disse que adoraria um feat com  para o seu próximo álbum little mix ,0.0
  chupa troxa,1.0
    falei alguma mentira,0.0
  tomou no meio do seu orifício anal ,1.0
"o presidente  indicou ao cargo de ministro da educação  este falou que o ministério foi ocupada por um trapizomba pessoa mal arrumada mal vestida que não sabe das coisas um imbecilquem será está pessoa 

",1.0
os meus lowkey são mas acho q mais liberdade ia me fazer confusão kkkkk cm é q vcs chegam a casa dps das 8 da noite qd é q vcs jantam ,0.0
avocados segurando essa barra que é estar sem clipe há mais de 4 meses e ainda terem sido trollados pela billie com o clipe de atgggth que nem gravado foi hoje meu pai ,0.0
alguém precisa me tirar do tumblr ou então eu vou salvar todos os icons do kai e do chen,0.0
vic fala com os fcs da lorena pq a gnt quer juntar os fcs da lorena com os fcs da giu   ,0.0
falei que eu estava desanimada pra minha mãe e ela me falou não fica assim vamos fazer umas orelhinhas de gato que passa,0.0
minha mãe vive me arrasando pq tô gorda mas me manda mensagem pra ir na casa dela jantar e levar coca ,0.0
sem condições com essa amiga minha ideia certa ,0.0
"policial sendo aplaudido por matar bandido esse é o brasil que eu quero 
 ",1.0
na nota cláudio drewes se disse preocupado com o futuro da operação zelotesnão sou moleque afirmou ele depois de ter seu texto apagado,0.0
"e isto é o que fizeram com (
 ",0.0
"vc n gosta de suju — é sobre o leeteuk 
eu me referia ao modo que o fandom trata o show do bts na arabia como se super junior tivesse feito isso possível() e não o esforço dos 7 fora isso eu não tenho nada contra eles ",1.0
amo as pessoas de belcity no twitter pq todo mundo sabe de quem todo mundo tá falando,0.0
nunca mais tive disposição de pegar uma marquinha sdds,0.0
obrigado  por me fazer entender esse tweet ,0.0
sem talento tem racista e homofobia no histórico only corpo quem discordar discorde na sua casa,1.0
" a esquerda nunca quis dividir o brasil 
acuse o bolsonaro do que vc faz e chame o bolsonaro do que vc é ",0.0
mano eu não estou com raivaestou com ódio q é bem pior,0.0
  mais uma fake da foice de sp  ,1.0
"eu áudio 

izabela meu deus que voz fofa nem parece que tá falando de droga",1.0
celular do meu irmão desbloqueia com o meu rosto kkkk e olha q nen somos parecidos,0.0
 eu faço isso também mas eu tb durmo dependendo,0.0
e eu que não precisei ter um boi p ter chifre ,0.0
 esse tipo de cara literalmente sente ódio pelas mulheresmasculinidade frágil do caralho,1.0
vou parar de fumar fodasi,1.0
uma das coisas que eu mais vou sentir falta aqui na escola vai ser o creme de chocolate (,0.0
"quando as barmy começam a cantar as músicas num coreano embolado e o bts acha lindo sensacional perfeito brasileiras fluentes em coreano

 ",0.0
se você for pela ideia dos outros nunca vai ser feliz,0.0
tenho a semana inteira pra ficar doente vou ficar ruim logo na sexta feira,0.0
" governar que é bom nadao brasil afundado em uma crise enorme e o presidente com essa agenda ridícula de passeio não quer trabalhar saia deixe outro trabalhar pelo nosso país 
",1.0
mil pastas de currículos nenhum emprego,0.0
 sim gostei da contratação do donny mas infelizmente o careca hp vai queimar ele,0.0
é muito vacilo falsidade mimimi cobrança e má fépor isso que cada vez mais eu considero menos pessoas,1.0
 rio grande são,0.0
agora temos 3 perebas no elenco renê arão e o pior rodinei e nem me venha com o papo de que arão e renê não são perebas que vai arrumar treta comigo,1.0
 foi um arraso vai e o rui bosta não fez falta e o planinho dele com militantes petistas foi por água abaixoproibiu policiamento prá militância pelega ficar a vontade mas oh não apareceram kkkkkkk,1.0
explanar intimidade é falta de maturidade,0.0
 o nazismo chegou ao brasil se povo pobre não fizer uma revolução e tirar esses vermes na porrada o país vai acabar,1.0
teresinha e merda a mesma coisa odeio ela caralho,1.0
"jesus venceu no deserto e 
adão fracassou no paraísonão é o lugar são as escolhas",0.0
"no vídeo é possível ver todos os 12 integrantes não apenas imitando os passos do bts mas também colocando um pouquinho da “sua cara” à icônica coreografia de “fire”você consegue identificar todas essas modificações

youtube 

 ᪇ୣlaianneୣ᪇",0.0
tava perfeito até a parte que ele arranca o coração do cara ,0.0
 bandido dissimuladoesse sérgio moro é uma espécie de mal caráter com ditadura e pitadas de atraso,1.0
prometi que ia economizar por causa da vinda da lanacomprei uma calcinha de 80 reais,0.0
nenê fica de 4 que o pai te taca a vara,1.0
"ja passou um ano ahh foi tão rápido tão rápido como eu me apaixonei por vocês amor a primeira vista amor por essas princesinhas que roubaram meu coração eu amo vocês demais e quero passar mais 1000 anos com vocês minhas vidas ~ ^__^ 

      [ ",0.0
 se fizer bem feito eles entregam até a mãe,0.0
podia ser domingo agora sem neurose maior ansiedade rs,0.0
parece legenda pra cego surdo e mudo,1.0
sabe mentir cara a cara kkk se precisar até chora ,1.0
bom da minha mãe e que ela que contar as coisas pro meu pai pra ele brigar comigo sendo que qualquer coisa que eu faça que eu falo que meu pai deixou ela fala “ele nunca esteve presente então eu que mando” que ironia não,0.0
acabou de publicar uma foto em macaé ,0.0
 eu vou passar o dia inteiro ouvindo as conversas inteligentes de vocês sim,0.0
gente parece mt alguém q eu conheço e minha cara fica assim msm igual a dessa mina ai mano exxxxxxquece mt bom ser pega de surpresa assim kkkkkk ,0.0
 só fala isso porque ele não foi pro flamengo mauroteu clubismo te cega as vezeso cara é o maior campeão da história entre jogadores de futebol ele tem mais títulos que pelé e ainda é o melhor lateral direito do mundo,1.0
 a proibição da maconha só favorece o crime organizado q mantém o monopólio do mercado e seu financiamento muitos países civilizados e desenvolvidos já legalizaram por aqui temos governantes hipócritas e demagogos q são contra a legalização e automaticamente favorecem o tráfico,1.0
meu deus,0.0
  realmente eu fico me sentindo um lixo vendo os dois meninos mais bonitos do mundo esfregando a bochecha um no outro é demais pra mim ,0.0
para algumas investigações recurso infinito e velocidadepara outras5 meses após a prisão dos assassinos os celulares ainda não tiveram informações extraídaspolícia civil e mp não podem depender de favor de empresa privada para investigar,0.0
 tá com o cool na mão né não tenhais medo amigo a pf está vindo,1.0
 pode sim,0.0
obrigado  por contratar um grande jogador ,0.0
 duvivier kkkkk ninguém conhece vc trouxa ptralha os paraíbas e o brasil amam o mito  é o fim do pt e da boquinha do tal duvivier     rt   baiano é inteligente ,1.0
mas se eu deixar o twitter vou ter q ficar no instagram e o instagram eh o cúmulo ou seja vou me mata,0.0
de novo puxa saco esse fato não foi no pará nós não temos nada haver com isso ,1.0
da pra acreditar que um tweet podia nos unireu sou mt grata por ter te conhecido ,0.0
as vzs eu olho pra trás e penso graças a deus que passou,0.0
deus olhou pra mim e falou sem bunda sem peito sem beleza sem nada apenas fica aí no mundo vivendo ,0.0
no próximo sábado dia 03/08 o jazz e o blues tomarão conta novamente da charmosa praça clarimundo carneiro com a realização do fundinho festivalo evento apoiado pela prefeitura faz parte das comemorações especiais pelo aniversário de 131 anos de uberlândia,0.0
"  tem esquerdista que não pode ver uma vergonha que já quer passar né 
",1.0
"vamo c calma mo

nosso filho vai usa nike ou adidas",0.0
ultimamente meu whatsapp é muito offfico umas 3 horas offline quando ativo os dados nem 1 mensagem nem aquele con…,0.0
so preciso do meu silicone bichectomia e rinoplastia o resto juro q corro atrás,0.0
a menina só escolheu o teló pq ficou com pena tenho ctz kkkk,0.0
nhecer o próprio erro é coisa de gente grande ,0.0
doida pra chegar em casa rs,0.0
  com certeza eu to qm n queria ganhar milhões chutando bola,0.0
"vocês são incríveis o que fazemos quando atingimos a meta isso mesmo dobramos a meta

dois mil comentários nesse tweet com as tags chamem seus amigos para votarem também

  ",0.0
paulão vai vim cedo desse jeito paulinha na fab ,0.0
 vo nada não faz eu duvidar da minha capacidade kjjkkkkkkkkkkk,0.0
hipocrisia é uma merda ya aqui falam e defendem certas coisas de forma a parecerem exemplares na prática fazem completamente o oposto do que falam e defendem aqui não sei como é que conseguem mas aprecio a capacidade de representação,1.0
  olha eleee,0.0
 infelizmente,0.0
"  fala mais
vc é só mais um esquerdopata fissurado no fracasso e um invejoso contumaz do sucesso alheiovc assim como todo esquerdopata é um incompetente fracassado que acha sempre q as pessoas de sucesso lhe devem alguma coisaa única moral q vc reconhece é a que te serve",1.0
"eu só queria casar com o gilbert blythe mas eu nao posso porque ele não existe 
 ",0.0
qnd eu vou p vsl kkkk  ,0.0
"eu passando mal

alguem vai no hospital

eu já to melhor ",0.0
se alguém me contasse que a sheherazade preocupada com o conforto emocional de bandido é a mulher que ficou famosa porque acha compreensível amarrar bandido no poste eu não acreditaria,1.0
se eu nao passar na faculdade vou tirar carta e virar uber pronto ja decidi,0.0
"meta trezentos comentários 

• cinco cores 
• cinco animais 
• cinco profissões 
• cinco nomes 
• cinco esportes

paulin…",0.0
do nada assim me bate um tesao,1.0
o que dizer pra quem tem medo do hacker russo e entrega gratuitamente seus dados para o google e o facebook,0.0
